"filename", "language", "pip requirements", "HTML", "Python", "JavaScript", "comment", "blank", "total"
"d:\Repositories\Adaptive GenAI\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\api\analytics.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\api\auth.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\api\feedback.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\api\prompts.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\api\responses.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\core\config.py", "Python", 0, 0, 16, 0, 2, 7, 25
"d:\Repositories\Adaptive GenAI\backend\core\database.py", "Python", 0, 0, 32, 0, 4, 9, 45
"d:\Repositories\Adaptive GenAI\backend\core\security.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\crud\ai_crud.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\crud\user_crud.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\main.py", "Python", 0, 0, 21, 0, 2, 8, 31
"d:\Repositories\Adaptive GenAI\backend\requirements.txt", "pip requirements", 42, 0, 0, 0, 0, 1, 43
"d:\Repositories\Adaptive GenAI\backend\schemas\nosql\ai_response.py", "Python", 0, 0, 29, 0, 0, 12, 41
"d:\Repositories\Adaptive GenAI\backend\schemas\nosql\document_chunk.py", "Python", 0, 0, 24, 0, 0, 7, 31
"d:\Repositories\Adaptive GenAI\backend\schemas\nosql\prompt_event.py", "Python", 0, 0, 23, 0, 0, 9, 32
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\__init.py", "Python", 0, 0, 12, 0, 0, 2, 14
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\base.py", "Python", 0, 0, 3, 0, 0, 1, 4
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\company.py", "Python", 0, 0, 12, 0, 1, 3, 16
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\events.py", "Python", 0, 0, 13, 0, 1, 4, 18
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\metrics.py", "Python", 0, 0, 12, 0, 1, 3, 16
"d:\Repositories\Adaptive GenAI\backend\schemas\sql\user.py", "Python", 0, 0, 12, 0, 1, 3, 16
"d:\Repositories\Adaptive GenAI\backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Repositories\Adaptive GenAI\backend\services\bi_encoder.py", "Python", 0, 0, 33, 0, 1, 11, 45
"d:\Repositories\Adaptive GenAI\backend\services\cross_encoder.py", "Python", 0, 0, 43, 0, 11, 17, 71
"d:\Repositories\Adaptive GenAI\backend\services\llm.py", "Python", 0, 0, 11, 0, 0, 3, 14
"d:\Repositories\Adaptive GenAI\backend\services\rag_pipeline.py", "Python", 0, 0, 55, 0, 3, 11, 69
"d:\Repositories\Adaptive GenAI\frontend\assets\js\admin.js", "JavaScript", 0, 0, 0, 64, 1, 13, 78
"d:\Repositories\Adaptive GenAI\frontend\assets\js\analytics.js", "JavaScript", 0, 0, 0, 47, 0, 10, 57
"d:\Repositories\Adaptive GenAI\frontend\assets\js\api.js", "JavaScript", 0, 0, 0, 45, 0, 13, 58
"d:\Repositories\Adaptive GenAI\frontend\assets\js\auth.js", "JavaScript", 0, 0, 0, 11, 0, 4, 15
"d:\Repositories\Adaptive GenAI\frontend\assets\js\chat.js", "JavaScript", 0, 0, 0, 177, 4, 34, 215
"d:\Repositories\Adaptive GenAI\frontend\assets\js\config.js", "JavaScript", 0, 0, 0, 1, 0, 1, 2
"d:\Repositories\Adaptive GenAI\frontend\assets\js\feedback.js", "JavaScript", 0, 0, 0, 22, 0, 7, 29
"d:\Repositories\Adaptive GenAI\frontend\assets\js\login.js", "JavaScript", 0, 0, 0, 35, 0, 10, 45
"d:\Repositories\Adaptive GenAI\frontend\assets\js\memory.js", "JavaScript", 0, 0, 0, 89, 0, 22, 111
"d:\Repositories\Adaptive GenAI\frontend\assets\js\profile.js", "JavaScript", 0, 0, 0, 25, 0, 7, 32
"d:\Repositories\Adaptive GenAI\frontend\pages\admin.html", "HTML", 0, 30, 0, 0, 0, 7, 37
"d:\Repositories\Adaptive GenAI\frontend\pages\analytics.html", "HTML", 0, 35, 0, 0, 0, 5, 40
"d:\Repositories\Adaptive GenAI\frontend\pages\chat.html", "HTML", 0, 71, 0, 0, 2, 12, 85
"d:\Repositories\Adaptive GenAI\frontend\pages\feedback.html", "HTML", 0, 25, 0, 0, 0, 3, 28
"d:\Repositories\Adaptive GenAI\frontend\pages\login.html", "HTML", 0, 33, 0, 0, 0, 6, 39
"d:\Repositories\Adaptive GenAI\frontend\pages\memory.html", "HTML", 0, 49, 0, 0, 0, 9, 58
"d:\Repositories\Adaptive GenAI\frontend\pages\profile.html", "HTML", 0, 17, 0, 0, 0, 2, 19
"d:\Repositories\Adaptive GenAI\requirements.txt", "pip requirements", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 43, 260, 351, 516, 34, 286, 1490
